"vina_results","Model","Path","ligand","receptor"
-7.931,"Model_2","output/results_Vina_X167691_2GBH.pdb_ligand_vina_out_score.csv","output/results","2GBH"
-7.713,"Model_3","output/results_Vina_X167691_2GBH.pdb_ligand_vina_out_score.csv","output/results","2GBH"
-7.613,"Model_4","output/results_Vina_X167691_2GBH.pdb_ligand_vina_out_score.csv","output/results","2GBH"
-7.574,"Model_5","output/results_Vina_X167691_2GBH.pdb_ligand_vina_out_score.csv","output/results","2GBH"
-7.532,"Model_6","output/results_Vina_X167691_2GBH.pdb_ligand_vina_out_score.csv","output/results","2GBH"
-7.511,"Model_7","output/results_Vina_X167691_2GBH.pdb_ligand_vina_out_score.csv","output/results","2GBH"
-7.509,"Model_8","output/results_Vina_X167691_2GBH.pdb_ligand_vina_out_score.csv","output/results","2GBH"
-7.466,"Model_9","output/results_Vina_X167691_2GBH.pdb_ligand_vina_out_score.csv","output/results","2GBH"
-7.005,"Model_1","output/results_Vina_X167691_2K4C.pdb_ligand_vina_out_score.csv","output/results","2K4C"
-6.876,"Model_2","output/results_Vina_X167691_2K4C.pdb_ligand_vina_out_score.csv","output/results","2K4C"
-6.744,"Model_3","output/results_Vina_X167691_2K4C.pdb_ligand_vina_out_score.csv","output/results","2K4C"
-6.619,"Model_4","output/results_Vina_X167691_2K4C.pdb_ligand_vina_out_score.csv","output/results","2K4C"
-6.455,"Model_5","output/results_Vina_X167691_2K4C.pdb_ligand_vina_out_score.csv","output/results","2K4C"
-6.423,"Model_6","output/results_Vina_X167691_2K4C.pdb_ligand_vina_out_score.csv","output/results","2K4C"
-6.4,"Model_7","output/results_Vina_X167691_2K4C.pdb_ligand_vina_out_score.csv","output/results","2K4C"
-6.249,"Model_8","output/results_Vina_X167691_2K4C.pdb_ligand_vina_out_score.csv","output/results","2K4C"
-6.247,"Model_9","output/results_Vina_X167691_2K4C.pdb_ligand_vina_out_score.csv","output/results","2K4C"
-8.748,"Model_1","output/results_Vina_X167691_4PGS.pdb_ligand_vina_out_score.csv","output/results","4PGS"
