"variable","relative_importance","scaled_importance","percentage","model","Importance"
"OTU1454_g__Coprobacter",0,0,0,"DRF",0
"OTU169_g__Aminomonas",0,0,0,"DRF",0
"OTU2382_g__Desulfoscipio",0,0,0,"DRF",0
"OTU1235_g__Jejubacter",0,0,0,"DRF",0
"OTU1549_g__Pelolinea",0,0,0,"DRF",0
"OTU2357_g__Halothermothrix",0,0,0,"DRF",0
"OTU69_g__Gemmatimonas",0,0,0,"DRF",0
"OTU917_g__Alteromonas",0,0,0,"DRF",0
"OTU1483_g__Pseudoprevotella",0,0,0,"DRF",0
"OTU1124_g__Buchnera",0,0,0,"DRF",0
"OTU1596_g__Aquihabitans",0,0,0,"DRF",0
"OTU611_g__Conchiformibius",0,0,0,"DRF",0
"OTU1837_g__Arthrobacter",0,0,0,"DRF",0
"OTU2095_g__Anoxybacillus",0,0,0,"DRF",0
"OTU2447_g__Caloramator",0,0,0,"DRF",0
"OTU2451_g__Alkaliphilus",0,0,0,"DRF",0
"OTU2419_g__Emergencia",20.5971240997314,1,0.307594267380136,"GBM",1
"OTU2270_g__Carnobacterium",9.34476280212402,0.453692600815366,0.139553243163591,"GBM",0.453692600815366
"OTU2279_g__Lactococcus",6.92307758331299,0.336118651797765,0.103388170452532,"GBM",0.336118651797765
"OTU743_g__Sutterella",4.80250453948975,0.233163839584399,0.0717198604165028,"GBM",0.233163839584399
"OTU1473_g__Alistipes",4.61237812042236,0.223933113093323,0.0688805418640937,"GBM",0.223933113093323
"OTU1959_g__Longicatena",3.23443865776062,0.157033508275206,0.0483026069320444,"GBM",0.157033508275206
"OTU2565_g__Qiania",2.56068205833435,0.124322310529155,0.0382408300262211,"GBM",0.124322310529155
"OTU2513_g__Acetivibrio",2.24857687950134,0.109169458251245,0.033579899531078,"GBM",0.109169458251245
"OTU2544_g__Herbinix",2.22219562530518,0.107888636032161,0.0331859259589546,"GBM",0.107888636032161
"OTU1484_g__Paraprevotella",2.1052405834198,0.102210414095978,0.0314393374424727,"GBM",0.102210414095978
"OTU2345_g__Dialister",1.84292101860046,0.0894746766430607,0.0275218976110968,"GBM",0.0894746766430607
"OTU2511_g__Anaerotruncus",1.57426130771637,0.0764311221359731,0.0235097750184563,"GBM",0.0764311221359731
"OTU1481_g__Hoylesella",1.43770289421082,0.0698011473470493,0.0214704327805085,"GBM",0.0698011473470493
"OTU2427_g__Eubacterium",0.472426801919937,0.0229365419964672,0.00705514883163705,"GBM",0.0229365419964672
"OTU2411_g__Candidatus_Formimonas",0.418822914361954,0.0203340482066336,0.00625463666099182,"GBM",0.0203340482066336
"OTU2551_g__Pseudobutyrivibrio",0.418128699064255,0.0203003437295261,0.00624426935704852,"GBM",0.0203003437295261
"OTU2579_g__Coprococcus",0.297880828380585,0.0144622534164597,0.00444850624430177,"GBM",0.0144622534164597
"OTU1952_g__Faecalitalea",0.238686755299568,0.0115883535072103,0.00356451110719237,"GBM",0.0115883535072103
"OTU2555_g__Marvinbryantia",0.227425679564476,0.0110416230180135,0.00339633994291352,"GBM",0.0110416230180135
"OTU918_g__Succinivibrio",0.192582413554192,0.00934996617108806,0.00287599599442488,"GBM",0.00934996617108806
"OTU2575_g__Anaerobutyricum",0.0959686115384102,0.00465932093595831,0.00143318040978502,"GBM",0.00465932093595831
"OTU2567_g__Lachnoanaerobaculum",0.0929506421089172,0.00451279710987075,0.00138811052084589,"GBM",0.00451279710987075
"OTU2571_g__Butyrivibrio",0.0905110463500023,0.00439435359576158,0.00135167797489755,"GBM",0.00439435359576158
"OTU2136_g__Bacillus",0.0825024098157883,0.00400553054961998,0.00123207823487911,"GBM",0.00400553054961998
"OTU2587_g__Anaerostipes",0.0735617876052856,0.0035714591633812,0.00109856036483831,"GBM",0.0035714591633812
"OTU1962_g__Allobaculum",0.0723205134272575,0.00351119472199522,0.00108002336814112,"GBM",0.00351119472199522
"OTU2563_g__Tyzzerella",0.069481797516346,0.00337337373799927,0.00103763042353928,"GBM",0.00337337373799927
"OTU2679_g__Intestinimonas",0.068891316652298,0.00334470561612027,0.00102881227359274,"GBM",0.00334470561612027
"OTU1455_g__Barnesiella",0.065725676715374,0.00319101231789107,0.000981537096122692,"GBM",0.00319101231789107
"OTU2242_g__Ligilactobacillus",0.0571777857840061,0.00277600821877612,0.000853884214295675,"GBM",0.00277600821877612
"OTU2588_g__Lachnospira",0.0547983981668949,0.00266048783808655,0.000818350807429994,"GBM",0.00266048783808655
"OTU2439_g__Paeniclostridium",0.0406703464686871,0.00197456432615354,0.000607364667298149,"GBM",0.00197456432615354
"OTU704_g__Oxalobacter",0.0363952852785587,0.00176700810765292,0.000543521564328259,"GBM",0.00176700810765292
"OTU1948_g__Turicibacter",0.0336523838341236,0.00163383896077814,0.000502559498157674,"GBM",0.00163383896077814
"OTU2413_g__Christensenella",0.0330930352210999,0.00160668232423435,0.000494206272435478,"GBM",0.00160668232423435
"OTU2546_g__Faecalicatena",0.0325696095824242,0.00158126976488183,0.000486389514859185,"GBM",0.00158126976488183
"OTU2509_g__Caproicibacterium",0.0287654064595699,0.00139657392557755,0.000429578133480227,"GBM",0.00139657392557755
"OTU1181_g__Sodalis",0.028249628841877,0.00137153268121763,0.000421875590267051,"GBM",0.00137153268121763
"OTU2438_g__Terrisporobacter",0.0281705427914858,0.00136769301651453,0.000420694531415714,"GBM",0.00136769301651453
"OTU227_g__Akkermansia",0.0224751103669405,0.00109117711084887,0.00033563982399353,"GBM",0.00109117711084887
"OTU1507_g__Prevotella",0.0126315383240581,0.00061326708830301,0.000188637440734913,"GBM",0.00061326708830301
"OTU2529_g__Ruminococcus",0.0107715427875519,0.000522963435836769,0.00016086055491281,"GBM",0.000522963435836769
"OTU2265_g__Enterococcus",0.00957970693707466,0.000465099248355724,0.000143061862557031,"GBM",0.000465099248355724
"OTU2524_g__Vescimonas",0.00918185617774725,0.000445783408076226,0.000137120420817427,"GBM",0.000445783408076226
"OTU2396_g__Petrocella",0.0065002329647541,0.000315589347973043,9.7073474282743e-05,"GBM",0.000315589347973043
"OTU2584_g__Mediterraneibacter",0.00629715342074633,0.000305729741213164,9.40407157647818e-05,"GBM",0.000305729741213164
"OTU1456_g__Odoribacter",0.00504691386595368,0.000245030026595775,7.53698315168627e-05,"GBM",0.000245030026595775
"OTU2560_g__Lachnoclostridium",0.00462313136085868,0.000224455187941454,6.90411290945223e-05,"GBM",0.000224455187941454
"OTU1844_g__Rothia",0.00436336174607277,0.000211843251754242,6.51617698227717e-05,"GBM",0.000211843251754242
"OTU2444_g__Paraclostridium",0.00409991573542356,0.0001990528248299,6.12275078234997e-05,"GBM",0.0001990528248299
"OTU2251_g__Limosilactobacillus",0.00346141797490418,0.0001680534601891,5.16922809675632e-05,"GBM",0.0001680534601891
"OTU999_g__Acinetobacter",0.00344716664403677,0.000167361551415895,5.14794537953751e-05,"GBM",0.000167361551415895
"OTU2337_g__Phascolarctobacterium",0.000848187133669853,4.11798816943047e-05,1.26666955405603e-05,"GBM",4.11798816943047e-05
"OTU2432_g__Filifactor",0.000565686437766999,2.74643408967165e-05,8.44787381720381e-06,"GBM",2.74643408967165e-05
"OTU1597_g__Actinomarinicola",0.000295485398964956,1.43459541989558e-05,4.4127332716968e-06,"GBM",1.43459541989558e-05
"OTU2561_g__Anaerotignum",0.000208707002457231,1.01328224972899e-05,3.11679811254685e-06,"GBM",1.01328224972899e-05
"OTU2518_g__Ruthenibacterium",0.000121429249702487,5.89544681648398e-06,1.81340564439494e-06,"GBM",5.89544681648398e-06
"OTU2577_g__Dorea",9.24095802474767e-05,4.48652830366165e-06,1.38003038664505e-06,"GBM",4.48652830366165e-06
"OTU1531_g__Bacteroides",4.33473906014115e-05,2.10453606976989e-06,6.47343230555939e-07,"GBM",2.10453606976989e-06
"OTU2521_g__Dysosmobacter",4.28763960371725e-05,2.08166906358211e-06,6.40309470540433e-07,"GBM",2.08166906358211e-06
